Date,Open,Low,High,Close,Volume
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
2007-11-27,770,770,1050,962.9,27294366
2007-11-28,984,874,990,893.9,4581338
2007-11-29,909,841,914.75,884.2,5124121
2007-11-30,890,890,958,921.55,4609762
2007-12-03,939.75,922,995,969.3,2977470
2007-12-04,985,976,1056,1041.45,4849250
2007-12-05,1061,1050,1099.5,1082.45,2848209
2007-12-06,1089,1051,1109.7,1081.3,1749516
2007-12-07,1100,1078,1134,1102.4,2247904
