Date,Predicted,Actual
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
2007-11-27,1015.0,962.9
2007-11-28,955.0,893.9
2007-11-29,879.75,884.2
2007-11-30,923.0,921.55
2007-12-03,960.0,969.3
2007-12-04,1021.0,1041.45
2007-12-05,1064.5,1082.45
2007-12-06,1074.7,1081.3
2007-12-07,1099.0,1102.4
